,DAA
2020-11-09,146.09213940989991
2020-11-10,145.57433940989992
2020-11-11,146.36508240989988
2020-11-12,146.43473040989988
2020-11-13,147.32850540989986
2020-11-16,148.35736340989988
2020-11-17,148.6803614098999
2020-11-18,148.0240754098999
2020-11-19,148.60675040989992
2020-11-20,148.9050944098999
2020-11-23,149.0660414098999
2020-11-24,150.1316214098999
2020-11-25,150.1225364098999
2020-11-27,151.1012194098999
2020-11-30,149.9230924098999
2020-12-01,152.02684058879987
2020-12-02,152.15604171049986
2020-12-03,152.8594135026999
2020-12-04,154.0850126612999
2020-12-07,153.8898014238999
2020-12-08,154.49337787879992
2020-12-09,153.4354778346999
2020-12-10,154.0142118432999
2020-12-11,153.62108084559986
2020-12-14,153.54429854619988
2020-12-15,155.3644639974999
2020-12-16,155.83726927899988
2020-12-17,157.13786821159988
2020-12-18,156.41427435539987
2020-12-21,155.09359346759987
2020-12-22,154.77820510829983
2020-12-23,155.59381016749987
2020-12-24,155.81162400869988
2020-12-28,156.58375620349986
2020-12-29,157.04729853809985
2020-12-30,157.57395925359984
2020-12-31,157.33974776219983
2021-01-04,156.2037262925998
2021-01-05,158.44732805359985
2021-01-06,159.07499063319986
2021-01-07,161.13444878349983
2021-01-08,162.83960217029986
2021-01-11,161.68598745409986
2021-01-12,163.00407043029983
2021-01-13,163.24839093509985
2021-01-14,164.23440042949983
2021-01-15,162.5161683511998
2021-01-19,164.0142647890998
2021-01-20,165.6582458429998
2021-01-21,165.80291627609978
2021-01-22,165.27324658909978
2021-01-25,166.05048224759977
2021-01-26,165.64061713389978
2021-01-27,163.00402696389978
2021-01-28,162.84292402579976
2021-01-29,160.23933854879976
2021-02-01,162.09320692359978
2021-02-02,162.6959685741998
2021-02-03,162.93349219099983
2021-02-04,163.6312463899998
2021-02-05,164.0457107769998
2021-02-08,165.37023027019978
2021-02-09,166.0600910295998
2021-02-10,166.31268767759983
2021-02-11,166.44744339739984
2021-02-12,166.3467341851998
2021-02-16,165.34099056139985
2021-02-17,165.58275480899982
2021-02-18,164.75364944079985
2021-02-19,164.68354293959982
2021-02-22,164.1592063277998
